CareerCluster,CareerRole,RequiredSkills,EducationLevelRequired,AvgSalaryRange,JobOutlook,GrowthPath,LearningResources,EntranceExams,FieldforAdmission,OnlineResourcesLinks,FreeCertifications,SkillsList,SkillsText,SalaryMidpoint,EducationEnc,OutlookEnc,ClusterEnc,SkillsCount
STEM,Mathematician,Python; R; MATLAB; Statistics; Research; Data Analysis,Post-graduation,13-40 LPA,Medium,Entry Level > Mathematician > Senior Mathematician > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,Competitive Exams; Interviews,Relevant Bachelor/Master Degree,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics,"['python', 'r', 'matlab', 'statistics', 'research', 'data analysis']",Python; R; MATLAB; Statistics; Research; Data Analysis,26.5,4,2,13,6
STEM,Statistician,Python; R; MATLAB; Statistics; Research; Data Analysis,Graduation,7-25 LPA,High,Entry Level > Statistician > Senior Statistician > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,Competitive Exams; Interviews,Relevant Bachelor/Master Degree,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics,"['python', 'r', 'matlab', 'statistics', 'research', 'data analysis']",Python; R; MATLAB; Statistics; Research; Data Analysis,16.0,2,0,13,6
STEM,Actuary,Python; R; MATLAB; Statistics; Research; Technical Writing,Graduation,7-25 LPA,High,Entry Level > Actuary > Senior Actuary > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,Competitive Exams; Interviews,Relevant Bachelor/Master Degree,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics,"['python', 'r', 'matlab', 'statistics', 'research', 'technical writing']",Python; R; MATLAB; Statistics; Research; Technical Writing,16.0,2,0,13,6
STEM,Materials Engineer,Python; R; MATLAB; Statistics; Research; SolidWorks,Graduation,7-25 LPA,High,Entry Level > Materials Engineer > Senior Materials Engineer > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,JEE Main; JEE Advanced; State CET,B.Tech/B.E in relevant field,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics,"['python', 'r', 'matlab', 'statistics', 'research', 'solidworks']",Python; R; MATLAB; Statistics; Research; SolidWorks,16.0,2,0,13,6
STEM,Nuclear Engineer,Python; R; MATLAB; Statistics; Research; Project Management,Graduation,7-25 LPA,Medium,Entry Level > Nuclear Engineer > Senior Nuclear Engineer > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,JEE Main; JEE Advanced; State CET,B.Tech/B.E in relevant field,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics,"['python', 'r', 'matlab', 'statistics', 'research', 'project management']",Python; R; MATLAB; Statistics; Research; Project Management,16.0,2,2,13,6
STEM,Aerospace Engineer,Python; R; MATLAB; Statistics; Research; AutoCAD,Graduation,7-25 LPA,High,Entry Level > Aerospace Engineer > Senior Aerospace Engineer > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,JEE Main; JEE Advanced; State CET,B.Tech/B.E in relevant field,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics,"['python', 'r', 'matlab', 'statistics', 'research', 'autocad']",Python; R; MATLAB; Statistics; Research; AutoCAD,16.0,2,0,13,6
STEM,Petroleum Engineer,Python; R; MATLAB; Statistics; Research; Quality Control,Graduation,7-25 LPA,Medium,Entry Level > Petroleum Engineer > Senior Petroleum Engineer > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,JEE Main; JEE Advanced; State CET,B.Tech/B.E in relevant field,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics,"['python', 'r', 'matlab', 'statistics', 'research', 'quality control']",Python; R; MATLAB; Statistics; Research; Quality Control,16.0,2,2,13,6
STEM,Mining Engineer,Python; R; MATLAB; Statistics; Research; SolidWorks,Graduation,7-25 LPA,Medium,Entry Level > Mining Engineer > Senior Mining Engineer > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,JEE Main; JEE Advanced; State CET,B.Tech/B.E in relevant field,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics,"['python', 'r', 'matlab', 'statistics', 'research', 'solidworks']",Python; R; MATLAB; Statistics; Research; SolidWorks,16.0,2,2,13,6
STEM,Agricultural Engineer,Python; R; MATLAB; Statistics; Research; Project Management,Graduation,7-25 LPA,High,Entry Level > Agricultural Engineer > Senior Agricultural Engineer > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,JEE Main; JEE Advanced; State CET,B.Tech/B.E in relevant field,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics,"['python', 'r', 'matlab', 'statistics', 'research', 'project management']",Python; R; MATLAB; Statistics; Research; Project Management,16.0,2,0,13,6
STEM,Food Technologist,Python; R; MATLAB; Statistics; Research; Data Analysis,Graduation,7-25 LPA,High,Entry Level > Food Technologist > Senior Food Technologist > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,Competitive Exams; Interviews,Relevant Bachelor/Master Degree,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics,"['python', 'r', 'matlab', 'statistics', 'research', 'data analysis']",Python; R; MATLAB; Statistics; Research; Data Analysis,16.0,2,0,13,6
STEM,Biotechnologist,Python; R; MATLAB; Statistics; Research; Technical Writing,Post-graduation,13-40 LPA,Very High,Entry Level > Biotechnologist > Senior Biotechnologist > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,Competitive Exams; Interviews,Relevant Bachelor/Master Degree,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics,"['python', 'r', 'matlab', 'statistics', 'research', 'technical writing']",Python; R; MATLAB; Statistics; Research; Technical Writing,26.5,4,3,13,6
STEM,Nanotechnologist,Python; R; MATLAB; Statistics; Research; Data Analysis,Post-graduation,13-40 LPA,High,Entry Level > Nanotechnologist > Senior Nanotechnologist > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,Competitive Exams; Interviews,Relevant Bachelor/Master Degree,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics,"['python', 'r', 'matlab', 'statistics', 'research', 'data analysis']",Python; R; MATLAB; Statistics; Research; Data Analysis,26.5,4,0,13,6
STEM,Robotics Engineer,Python; R; MATLAB; Statistics; Research; AutoCAD,Graduation,7-25 LPA,Very High,Entry Level > Robotics Engineer > Senior Robotics Engineer > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,JEE Main; JEE Advanced; State CET,B.Tech/B.E in relevant field,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics,"['python', 'r', 'matlab', 'statistics', 'research', 'autocad']",Python; R; MATLAB; Statistics; Research; AutoCAD,16.0,2,3,13,6
STEM,Systems Engineer,Python; R; MATLAB; Statistics; Research; SolidWorks,Graduation,7-25 LPA,High,Entry Level > Systems Engineer > Senior Systems Engineer > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,JEE Main; JEE Advanced; State CET,B.Tech/B.E in relevant field,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics,"['python', 'r', 'matlab', 'statistics', 'research', 'solidworks']",Python; R; MATLAB; Statistics; Research; SolidWorks,16.0,2,0,13,6
STEM,Quality Assurance Engineer,Python; R; MATLAB; Statistics; Research; Quality Control,Graduation,7-25 LPA,High,Entry Level > Quality Assurance Engineer > Senior Quality Assurance Engineer > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,JEE Main; JEE Advanced; State CET,B.Tech/B.E in relevant field,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics,"['python', 'r', 'matlab', 'statistics', 'research', 'quality control']",Python; R; MATLAB; Statistics; Research; Quality Control,16.0,2,0,13,6
IT,Software Developer,Programming; Problem Solving; Debugging; Version Control; JavaScript; HTML/CSS,Graduation,7-25 LPA,Very High,Junior Software Developer > Software Developer > Senior Software Developer > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics,"['programming', 'problem solving', 'debugging', 'version control', 'javascript', 'html/css']",Programming; Problem Solving; Debugging; Version Control; JavaScript; HTML/CSS,16.0,2,3,7,6
IT,Web Developer,Programming; Problem Solving; Debugging; Version Control; JavaScript; React,Graduation,7-25 LPA,Very High,Junior Web Developer > Web Developer > Senior Web Developer > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics,"['programming', 'problem solving', 'debugging', 'version control', 'javascript', 'react']",Programming; Problem Solving; Debugging; Version Control; JavaScript; React,16.0,2,3,7,6
IT,Mobile App Developer,Programming; Problem Solving; Debugging; Version Control; JavaScript; Node.js,Graduation,7-25 LPA,High,Junior Mobile App Developer > Mobile App Developer > Senior Mobile App Developer > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics,"['programming', 'problem solving', 'debugging', 'version control', 'javascript', 'node.js']",Programming; Problem Solving; Debugging; Version Control; JavaScript; Node.js,16.0,2,0,7,6
IT,DevOps Engineer,Programming; Problem Solving; Debugging; Version Control; System Administration; Cloud Computing,Graduation,7-25 LPA,Very High,Junior DevOps Engineer > DevOps Engineer > Senior DevOps Engineer > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics,"['programming', 'problem solving', 'debugging', 'version control', 'system administration', 'cloud computing']",Programming; Problem Solving; Debugging; Version Control; System Administration; Cloud Computing,16.0,2,3,7,6
IT,Cloud Architect,Programming; Problem Solving; Debugging; Version Control; System Administration; Database Management,Post-graduation,10-35 LPA,Very High,Junior Cloud Architect > Cloud Architect > Senior Cloud Architect > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics,"['programming', 'problem solving', 'debugging', 'version control', 'system administration', 'database management']",Programming; Problem Solving; Debugging; Version Control; System Administration; Database Management,22.5,4,3,7,6
IT,Cybersecurity Analyst,Programming; Problem Solving; Debugging; Version Control; Network Security; Penetration Testing,Graduation,7-25 LPA,Very High,Junior Cybersecurity Analyst > Cybersecurity Analyst > Senior Cybersecurity Analyst > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics,"['programming', 'problem solving', 'debugging', 'version control', 'network security', 'penetration testing']",Programming; Problem Solving; Debugging; Version Control; Network Security; Penetration Testing,16.0,2,3,7,6
IT,Database Administrator,Programming; Problem Solving; Debugging; Version Control; System Administration; Database Management,Graduation,7-25 LPA,High,Junior Database Administrator > Database Administrator > Senior Database Administrator > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics,"['programming', 'problem solving', 'debugging', 'version control', 'system administration', 'database management']",Programming; Problem Solving; Debugging; Version Control; System Administration; Database Management,16.0,2,0,7,6
IT,Network Administrator,Programming; Problem Solving; Debugging; Version Control; System Administration; Cloud Computing,Graduation,7-25 LPA,High,Junior Network Administrator > Network Administrator > Senior Network Administrator > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics,"['programming', 'problem solving', 'debugging', 'version control', 'system administration', 'cloud computing']",Programming; Problem Solving; Debugging; Version Control; System Administration; Cloud Computing,16.0,2,0,7,6
IT,IT Project Manager,Programming; Problem Solving; Debugging; Version Control; System Administration; Database Management,Post-graduation,10-35 LPA,High,Junior IT Project Manager > IT Project Manager > Senior IT Project Manager > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics,"['programming', 'problem solving', 'debugging', 'version control', 'system administration', 'database management']",Programming; Problem Solving; Debugging; Version Control; System Administration; Database Management,22.5,4,0,7,6
IT,Systems Analyst,Programming; Problem Solving; Debugging; Version Control; System Administration; Cloud Computing,Graduation,7-25 LPA,High,Junior Systems Analyst > Systems Analyst > Senior Systems Analyst > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics,"['programming', 'problem solving', 'debugging', 'version control', 'system administration', 'cloud computing']",Programming; Problem Solving; Debugging; Version Control; System Administration; Cloud Computing,16.0,2,0,7,6
IT,UI/UX Designer,Programming; Problem Solving; Debugging; Version Control; JavaScript; HTML/CSS,Graduation,7-25 LPA,High,Junior UI/UX Designer > UI/UX Designer > Senior UI/UX Designer > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics,"['programming', 'problem solving', 'debugging', 'version control', 'javascript', 'html/css']",Programming; Problem Solving; Debugging; Version Control; JavaScript; HTML/CSS,16.0,2,0,7,6
IT,Game Developer,Programming; Problem Solving; Debugging; Version Control; JavaScript; React,Graduation,7-25 LPA,Medium,Junior Game Developer > Game Developer > Senior Game Developer > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics,"['programming', 'problem solving', 'debugging', 'version control', 'javascript', 'react']",Programming; Problem Solving; Debugging; Version Control; JavaScript; React,16.0,2,2,7,6
IT,Blockchain Developer,Programming; Problem Solving; Debugging; Version Control; JavaScript; Node.js,Graduation,7-25 LPA,High,Junior Blockchain Developer > Blockchain Developer > Senior Blockchain Developer > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics,"['programming', 'problem solving', 'debugging', 'version control', 'javascript', 'node.js']",Programming; Problem Solving; Debugging; Version Control; JavaScript; Node.js,16.0,2,0,7,6
IT,AI Engineer,Programming; Problem Solving; Debugging; Version Control; JavaScript; Git,Post-graduation,10-35 LPA,Very High,Junior AI Engineer > AI Engineer > Senior AI Engineer > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics,"['programming', 'problem solving', 'debugging', 'version control', 'javascript', 'git']",Programming; Problem Solving; Debugging; Version Control; JavaScript; Git,22.5,4,3,7,6
IT,Full Stack Developer,Programming; Problem Solving; Debugging; Version Control; JavaScript; HTML/CSS,Graduation,7-25 LPA,Very High,Junior Full Stack Developer > Full Stack Developer > Senior Full Stack Developer > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics,"['programming', 'problem solving', 'debugging', 'version control', 'javascript', 'html/css']",Programming; Problem Solving; Debugging; Version Control; JavaScript; HTML/CSS,16.0,2,3,7,6
