CareerCluster,CareerRole,RequiredSkills,EducationLevelRequired,AvgSalaryRange,JobOutlook,GrowthPath,LearningResources,EntranceExams,FieldforAdmission,OnlineResourcesLinks,FreeCertifications
STEM,Mathematician,Python; R; MATLAB; Statistics; Research; Data Analysis,Post-graduation,13-40 LPA,Medium,Entry Level > Mathematician > Senior Mathematician > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,Competitive Exams; Interviews,Relevant Bachelor/Master Degree,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics
STEM,Statistician,Python; R; MATLAB; Statistics; Research; Data Analysis,Graduation,7-25 LPA,High,Entry Level > Statistician > Senior Statistician > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,Competitive Exams; Interviews,Relevant Bachelor/Master Degree,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics
STEM,Actuary,Python; R; MATLAB; Statistics; Research; Technical Writing,Graduation,7-25 LPA,High,Entry Level > Actuary > Senior Actuary > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,Competitive Exams; Interviews,Relevant Bachelor/Master Degree,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics
STEM,Materials Engineer,Python; R; MATLAB; Statistics; Research; SolidWorks,Graduation,7-25 LPA,High,Entry Level > Materials Engineer > Senior Materials Engineer > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,JEE Main; JEE Advanced; State CET,B.Tech/B.E in relevant field,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics
STEM,Nuclear Engineer,Python; R; MATLAB; Statistics; Research; Project Management,Graduation,7-25 LPA,Medium,Entry Level > Nuclear Engineer > Senior Nuclear Engineer > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,JEE Main; JEE Advanced; State CET,B.Tech/B.E in relevant field,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics
STEM,Aerospace Engineer,Python; R; MATLAB; Statistics; Research; AutoCAD,Graduation,7-25 LPA,High,Entry Level > Aerospace Engineer > Senior Aerospace Engineer > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,JEE Main; JEE Advanced; State CET,B.Tech/B.E in relevant field,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics
STEM,Petroleum Engineer,Python; R; MATLAB; Statistics; Research; Quality Control,Graduation,7-25 LPA,Medium,Entry Level > Petroleum Engineer > Senior Petroleum Engineer > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,JEE Main; JEE Advanced; State CET,B.Tech/B.E in relevant field,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics
STEM,Mining Engineer,Python; R; MATLAB; Statistics; Research; SolidWorks,Graduation,7-25 LPA,Medium,Entry Level > Mining Engineer > Senior Mining Engineer > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,JEE Main; JEE Advanced; State CET,B.Tech/B.E in relevant field,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics
STEM,Agricultural Engineer,Python; R; MATLAB; Statistics; Research; Project Management,Graduation,7-25 LPA,High,Entry Level > Agricultural Engineer > Senior Agricultural Engineer > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,JEE Main; JEE Advanced; State CET,B.Tech/B.E in relevant field,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics
STEM,Food Technologist,Python; R; MATLAB; Statistics; Research; Data Analysis,Graduation,7-25 LPA,High,Entry Level > Food Technologist > Senior Food Technologist > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,Competitive Exams; Interviews,Relevant Bachelor/Master Degree,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics
STEM,Biotechnologist,Python; R; MATLAB; Statistics; Research; Technical Writing,Post-graduation,13-40 LPA,Very High,Entry Level > Biotechnologist > Senior Biotechnologist > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,Competitive Exams; Interviews,Relevant Bachelor/Master Degree,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics
STEM,Nanotechnologist,Python; R; MATLAB; Statistics; Research; Data Analysis,Post-graduation,13-40 LPA,High,Entry Level > Nanotechnologist > Senior Nanotechnologist > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,Competitive Exams; Interviews,Relevant Bachelor/Master Degree,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics
STEM,Robotics Engineer,Python; R; MATLAB; Statistics; Research; AutoCAD,Graduation,7-25 LPA,Very High,Entry Level > Robotics Engineer > Senior Robotics Engineer > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,JEE Main; JEE Advanced; State CET,B.Tech/B.E in relevant field,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics
STEM,Systems Engineer,Python; R; MATLAB; Statistics; Research; SolidWorks,Graduation,7-25 LPA,High,Entry Level > Systems Engineer > Senior Systems Engineer > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,JEE Main; JEE Advanced; State CET,B.Tech/B.E in relevant field,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics
STEM,Quality Assurance Engineer,Python; R; MATLAB; Statistics; Research; Quality Control,Graduation,7-25 LPA,High,Entry Level > Quality Assurance Engineer > Senior Quality Assurance Engineer > Lead > Manager,Khan Academy; MIT OpenCourseWare; Coursera Science; edX Engineering; Research Papers,JEE Main; JEE Advanced; State CET,B.Tech/B.E in relevant field,https://khanacademy.org; https://mit.edu/courses; https://coursera.org/science; https://edx.org/engineering; https://arxiv.org,IBM Data Science; Google Analytics; Microsoft Excel; Coursera Data Analysis; edX Statistics
IT,Software Developer,Programming; Problem Solving; Debugging; Version Control; JavaScript; HTML/CSS,Graduation,7-25 LPA,Very High,Junior Software Developer > Software Developer > Senior Software Developer > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics
IT,Web Developer,Programming; Problem Solving; Debugging; Version Control; JavaScript; React,Graduation,7-25 LPA,Very High,Junior Web Developer > Web Developer > Senior Web Developer > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics
IT,Mobile App Developer,Programming; Problem Solving; Debugging; Version Control; JavaScript; Node.js,Graduation,7-25 LPA,High,Junior Mobile App Developer > Mobile App Developer > Senior Mobile App Developer > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics
IT,DevOps Engineer,Programming; Problem Solving; Debugging; Version Control; System Administration; Cloud Computing,Graduation,7-25 LPA,Very High,Junior DevOps Engineer > DevOps Engineer > Senior DevOps Engineer > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics
IT,Cloud Architect,Programming; Problem Solving; Debugging; Version Control; System Administration; Database Management,Post-graduation,10-35 LPA,Very High,Junior Cloud Architect > Cloud Architect > Senior Cloud Architect > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics
IT,Cybersecurity Analyst,Programming; Problem Solving; Debugging; Version Control; Network Security; Penetration Testing,Graduation,7-25 LPA,Very High,Junior Cybersecurity Analyst > Cybersecurity Analyst > Senior Cybersecurity Analyst > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics
IT,Database Administrator,Programming; Problem Solving; Debugging; Version Control; System Administration; Database Management,Graduation,7-25 LPA,High,Junior Database Administrator > Database Administrator > Senior Database Administrator > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics
IT,Network Administrator,Programming; Problem Solving; Debugging; Version Control; System Administration; Cloud Computing,Graduation,7-25 LPA,High,Junior Network Administrator > Network Administrator > Senior Network Administrator > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics
IT,IT Project Manager,Programming; Problem Solving; Debugging; Version Control; System Administration; Database Management,Post-graduation,10-35 LPA,High,Junior IT Project Manager > IT Project Manager > Senior IT Project Manager > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics
IT,Systems Analyst,Programming; Problem Solving; Debugging; Version Control; System Administration; Cloud Computing,Graduation,7-25 LPA,High,Junior Systems Analyst > Systems Analyst > Senior Systems Analyst > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics
IT,UI/UX Designer,Programming; Problem Solving; Debugging; Version Control; JavaScript; HTML/CSS,Graduation,7-25 LPA,High,Junior UI/UX Designer > UI/UX Designer > Senior UI/UX Designer > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics
IT,Game Developer,Programming; Problem Solving; Debugging; Version Control; JavaScript; React,Graduation,7-25 LPA,Medium,Junior Game Developer > Game Developer > Senior Game Developer > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics
IT,Blockchain Developer,Programming; Problem Solving; Debugging; Version Control; JavaScript; Node.js,Graduation,7-25 LPA,High,Junior Blockchain Developer > Blockchain Developer > Senior Blockchain Developer > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics
IT,AI Engineer,Programming; Problem Solving; Debugging; Version Control; JavaScript; Git,Post-graduation,10-35 LPA,Very High,Junior AI Engineer > AI Engineer > Senior AI Engineer > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics
IT,Full Stack Developer,Programming; Problem Solving; Debugging; Version Control; JavaScript; HTML/CSS,Graduation,7-25 LPA,Very High,Junior Full Stack Developer > Full Stack Developer > Senior Full Stack Developer > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics
IT,Frontend Developer,Programming; Problem Solving; Debugging; Version Control; JavaScript; React,Graduation,7-25 LPA,High,Junior Frontend Developer > Frontend Developer > Senior Frontend Developer > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics
IT,Backend Developer,Programming; Problem Solving; Debugging; Version Control; JavaScript; Node.js,Graduation,7-25 LPA,Very High,Junior Backend Developer > Backend Developer > Senior Backend Developer > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics
IT,Security Engineer,Programming; Problem Solving; Debugging; Version Control; Network Security; Risk Assessment,Graduation,7-25 LPA,Very High,Junior Security Engineer > Security Engineer > Senior Security Engineer > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics
IT,Site Reliability Engineer,Programming; Problem Solving; Debugging; Version Control; System Administration; Cloud Computing,Post-graduation,10-35 LPA,High,Junior Site Reliability Engineer > Site Reliability Engineer > Senior Site Reliability Engineer > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics
IT,Technical Writer,Programming; Problem Solving; Debugging; Version Control; System Administration; Database Management,Graduation,7-25 LPA,Medium,Junior Technical Writer > Technical Writer > Senior Technical Writer > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics
IT,Software Tester,Programming; Problem Solving; Debugging; Version Control; System Administration; Cloud Computing,Graduation,7-25 LPA,High,Junior Software Tester > Software Tester > Senior Software Tester > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics
IT,Business Intelligence Analyst,Programming; Problem Solving; Debugging; Version Control; System Administration; Database Management,Graduation,7-25 LPA,High,Junior Business Intelligence Analyst > Business Intelligence Analyst > Senior Business Intelligence Analyst > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics
IT,Data Engineer,Programming; Problem Solving; Debugging; Version Control; System Administration; Cloud Computing,Graduation,7-25 LPA,Very High,Junior Data Engineer > Data Engineer > Senior Data Engineer > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics
IT,Platform Engineer,Programming; Problem Solving; Debugging; Version Control; System Administration; Database Management,Post-graduation,10-35 LPA,High,Junior Platform Engineer > Platform Engineer > Senior Platform Engineer > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics
IT,Infrastructure Engineer,Programming; Problem Solving; Debugging; Version Control; System Administration; Cloud Computing,Graduation,7-25 LPA,High,Junior Infrastructure Engineer > Infrastructure Engineer > Senior Infrastructure Engineer > Team Lead > Engineering Manager,Coursera Tech Courses; Udemy Programming; GitHub Projects; Stack Overflow; LeetCode,Programming Tests; Technical Interviews,B.Tech CS/IT; BCA; MCA,https://github.com; https://stackoverflow.com; https://leetcode.com; https://codecademy.com; https://freecodecamp.org,Google IT Support; IBM Data Science; Microsoft Azure Fundamentals; AWS Cloud Practitioner; Google Cloud Basics
Business,Business Analyst,Communication; Leadership; Strategic Planning; Excel; Presentation Skills; Team Management,Graduation,7-15 LPA,High,Associate > Business Analyst > Senior Business Analyst > Manager > Director,LinkedIn Learning Business Analysis; Udemy Power BI; Coursera Business; MBA Case Studies; Industry Reports,Competitive Exams; Interviews,Relevant Bachelor/Master Degree,https://linkedin.com/learning; https://hbr.org; https://coursera.org/business; https://case.hbs.edu; https://mckinsey.com/insights,Google Analytics; HubSpot Marketing; Salesforce Trailhead; LinkedIn Marketing; Facebook Blueprint
Business,Management Consultant,Communication; Leadership; Strategic Planning; Excel; Presentation Skills; Team Management,Post-graduation,10-25 LPA,High,Associate > Management Consultant > Senior Management Consultant > Manager > Director,LinkedIn Learning Business Analysis; Udemy Power BI; Coursera Business; MBA Case Studies; Industry Reports,Competitive Exams; Interviews,Relevant Bachelor/Master Degree,https://linkedin.com/learning; https://hbr.org; https://coursera.org/business; https://case.hbs.edu; https://mckinsey.com/insights,Google Analytics; HubSpot Marketing; Salesforce Trailhead; LinkedIn Marketing; Facebook Blueprint
